time_bin,N_subjects,MARD_uncal_mean,MARD_uncal_ci_low,MARD_uncal_ci_high,MARD_frozen_mean,MARD_frozen_ci_low,MARD_frozen_ci_high,MARD_decay_hl30_mean,MARD_decay_hl30_ci_low,MARD_decay_hl30_ci_high,MARD_decay_hl14_mean,MARD_decay_hl14_ci_low,MARD_decay_hl14_ci_high,MARD_decay_hl60_mean,MARD_decay_hl60_ci_low,MARD_decay_hl60_ci_high,Delta_MARD_frozen,Delta_MARD_decay_hl30,MAE_uncal_mean,MAE_uncal_ci_low,MAE_uncal_ci_high,MAE_frozen_mean,MAE_frozen_ci_low,MAE_frozen_ci_high,MAE_decay_hl30_mean,MAE_decay_hl30_ci_low,MAE_decay_hl30_ci_high,MAE_decay_hl14_mean,MAE_decay_hl14_ci_low,MAE_decay_hl14_ci_high,MAE_decay_hl60_mean,MAE_decay_hl60_ci_low,MAE_decay_hl60_ci_high,Delta_MAE_frozen,Delta_MAE_decay_hl30,RMSE_uncal_mean,RMSE_uncal_ci_low,RMSE_uncal_ci_high,RMSE_frozen_mean,RMSE_frozen_ci_low,RMSE_frozen_ci_high,RMSE_decay_hl30_mean,RMSE_decay_hl30_ci_low,RMSE_decay_hl30_ci_high,RMSE_decay_hl14_mean,RMSE_decay_hl14_ci_low,RMSE_decay_hl14_ci_high,RMSE_decay_hl60_mean,RMSE_decay_hl60_ci_low,RMSE_decay_hl60_ci_high,Delta_RMSE_frozen,Delta_RMSE_decay_hl30
0–3,14,8.011479754827908,5.774413902963295,10.54020299958134,6.290140014894321,4.358783120758149,8.31818280332144,6.1538707379687265,4.251143066557009,8.145156932756244,6.006340677691787,4.1393102294183555,8.01286904977299,6.221142252883635,4.337116282929945,8.221231941253697,1.7213397399335868,1.8576090168591817,7.947498412359329,5.788539763859339,10.254120554242814,6.343760619497638,4.346518763840424,8.5637139277518,6.20400760464977,4.246381093734547,8.369865933605812,6.052671412997684,4.105195627343787,8.177182151304333,6.273002560258389,4.296052827800774,8.473652306857858,1.6037377928616916,1.7434908077095592,8.482594416049183,6.333186446434756,10.800349564293354,7.01188574532764,4.609460996631967,9.768777593900682,6.872385837944953,4.548273237599531,9.570542222586308,6.728272095619658,4.378768825841254,9.371132328493434,6.940517966403532,4.583265940416244,9.671402975731652,1.4707086707215433,1.6102085781042303
4–7,15,10.626254100186621,7.061478884226557,15.290131958912216,7.199708468481778,4.70067428094804,10.260656757110029,7.415850629665521,4.912095378308278,10.754276516173299,7.68079577006616,5.0934606004253515,11.262733361804289,7.295458605647032,4.779422424017253,10.49899962420112,3.426545631704843,3.2104034705210998,12.1702763027615,7.121326507992214,19.662153742048474,8.025565287532359,4.685108869228317,13.075094052527929,8.335075345638836,4.880011579200305,13.73935161248786,8.6958081182566,5.019819877844896,14.429588243124837,8.168502791775005,4.755348335918005,13.360168924079739,4.1447110152291415,3.835200957122664,13.002206811854924,7.938202502187305,20.386927861406438,9.019301122109585,5.409514411161442,13.937656152507255,9.110759964471955,5.4041522734638425,14.38518013334849,9.309981752890616,5.469387187518475,15.037756891236977,9.05342182639897,5.394796747826395,14.157638997432576,3.9829056897453388,3.8914468473829693
8–14,11,7.424011167877623,5.142004417835417,9.737642318963966,6.856996735337916,4.980002862594975,8.831627290183373,6.235191767690757,4.500105080704822,7.869532558639228,5.945424951524478,4.148604642950499,7.521779968157972,6.497301834742145,4.742409629592876,8.262728590448216,0.5670144325397066,1.1888194001868664,7.838541303362166,5.279594515515612,10.692237351157448,7.09589470047917,5.1497292473643705,9.187685111714986,6.503646995959931,4.698188304072491,8.207060010203424,6.23664502634768,4.380399268924414,7.913570587038239,6.7487031144448455,4.945118685470988,8.670222531512591,0.7426466028829957,1.3348943074022346,8.596763801187619,5.929230689471932,11.476107050099976,7.870564926041127,5.823045956836567,10.10374204446743,7.337316459432106,5.362886643144892,9.213715428767832,7.09204643220485,5.029132402920728,8.945363672600076,7.5639108398153745,5.591241977704854,9.509149553986877,0.7261988751464914,1.2594473417555125
15–30,11,10.452916957922952,8.61895666055106,12.298996867321087,9.300262825619205,7.300291121857774,11.636078080973741,8.07001197338264,5.64308740296878,10.641813481561682,9.076237343628653,7.112030758889506,11.202726914486076,8.325083458510266,6.27171328678654,10.849974304209015,1.1526541323037467,2.3829049845403123,10.751740840262322,8.681203973809362,13.098366507152456,9.205560034705329,7.247951142313319,11.658836150214396,8.18156980542087,5.667114585735525,11.040154538263591,9.286530269285306,7.1911907251156135,11.785183278504762,8.347835653265193,6.246644453824957,11.143633631815922,1.5461808055569932,2.5701710348414526,12.342684660839275,10.08949498349458,14.920065890197746,10.88898289926482,8.610746222075765,13.855752714752441,9.642984032092574,6.770246640919049,12.824973299667551,10.706898722413301,8.323187051263556,13.48276859627534,9.879934479834382,7.398110814352832,12.954038182693864,1.4537017615744556,2.699700628746701
31–60,12,8.789788924512306,7.171803642680716,10.834600069427244,8.677290439922462,6.757121713265842,11.163583586582197,7.668396675925642,6.070606956946349,9.962637129563863,8.367195821800381,6.779262152778684,10.432338413182581,7.470370858549539,5.6996298856531435,9.892824725380896,0.11249848458984424,1.1213922485866643,9.396935067780385,7.175820257512349,12.540416630897573,8.96408568938258,6.719625788177877,12.294773616821864,8.177780339033477,6.083075639411818,11.470556845881108,8.936994874686564,6.821939565939274,12.085184328299867,7.913380468488396,5.720218000996829,11.287311247665196,0.4328493783978047,1.2191547287469078,11.516632530639319,8.817297505641182,15.52614042500818,10.78868661773249,8.440688098007481,13.985945094751463,9.74374151872407,7.384990389167069,13.44632618673669,10.850075468848424,8.308444276258228,14.703771434385056,9.380534635915298,6.975431190066978,12.929250967472301,0.7279459129068293,1.7728910119152488
