,SQI_crcb,SQI_green,SQI_pos,SQI_pbv,SQI_crcg,SQI_cr/cg,SQI_ycgco
count,73.0,73.0,73.0,73.0,73.0,73.0,73.0
mean,2.8117846085107234,0.9617320101369211,2.6369500819733958,1.5092613634182972,0.7720834271093998,1.779523173132853,0.9314195247510438
std,2.4547911881796503,0.729596031213586,3.000183889016675,1.5345550782196087,0.46579212116952007,1.979062157942295,0.8107406607103647
min,0.2884082141153863,0.25235587115824937,0.36321602987908697,0.29753872489162175,0.26590147413554305,0.33760718335013407,0.27174852908065245
25%,0.8177043123265495,0.47080466827422524,0.9469104084439804,0.5888939177905399,0.4436501717021861,0.5748845354902326,0.44307202996718204
50%,2.1037833628395344,0.7014862223499095,1.5153083211590723,1.0211419100705335,0.6237488364290348,1.001164681289046,0.5921166523551981
75%,4.147875385449604,1.246067696652296,3.2620245127477494,1.7300171683784549,0.9635407775329394,2.2542155415503435,0.9293560193974288
max,10.545233873870323,4.992980353674651,17.340590528477374,8.63085132158159,2.4123745552741185,11.073890699002497,3.505799950247847
